Gene stable ID	Transcript length (including UTRs and CDS)
WBGene00000148	2375
WBGene00000148	2384
WBGene00000149	2741
WBGene00000149	2055
WBGene00000150	1602
WBGene00000151	1237
WBGene00000155	2097
WBGene00000156	3901
WBGene00000156	3894
WBGene00000156	2679
WBGene00000157	564
WBGene00000158	3020
WBGene00000159	615
WBGene00000160	3115
WBGene00000161	3246
WBGene00000162	4129
WBGene00000162	3053
WBGene00000163	2945
WBGene00000163	2915
WBGene00000164	1413
WBGene00000165	1467
WBGene00000166	2276
WBGene00000168	2346
WBGene00000168	642
WBGene00000168	2347
WBGene00000169	1032
WBGene00000169	983
WBGene00000170	1121
WBGene00000170	1221
WBGene00000170	1418
WBGene00000171	1392
WBGene00000171	969
WBGene00000171	1285
WBGene00000172	1076
WBGene00000173	1038
WBGene00000174	911
WBGene00000174	1041
WBGene00000174	1074
WBGene00000175	1042
WBGene00000175	1239
WBGene00000175	909
WBGene00000176	1302
WBGene00000176	1135
WBGene00000176	1714
WBGene00000176	156
WBGene00000176	498
WBGene00000177	975
WBGene00000177	936
WBGene00000177	192
WBGene00000178	983
WBGene00000179	900
WBGene00000180	1710
WBGene00000181	936
WBGene00000181	255
WBGene00000182	1173
WBGene00000182	1308
WBGene00000183	940
WBGene00000184	639
WBGene00000185	1074
WBGene00000186	3580
WBGene00000186	3566
WBGene00000187	976
WBGene00000188	1586
WBGene00000189	706
WBGene00000190	730
WBGene00000192	984
WBGene00000193	1417
WBGene00000195	1530
WBGene00000196	2983
WBGene00000197	3126
WBGene00000197	3125
WBGene00000198	1059
WBGene00000199	1598
WBGene00000200	1506
WBGene00000201	1380
WBGene00000201	1401
WBGene00000202	1764
WBGene00000203	693
WBGene00000204	756
WBGene00000205	640
WBGene00000206	1026
WBGene00000207	1181
WBGene00000207	1065
WBGene00000208	1339
WBGene00000209	476
WBGene00000210	497
WBGene00000211	1790
WBGene00000212	1933
WBGene00000213	1912
WBGene00000213	1638
WBGene00000214	1191
WBGene00000215	1381
WBGene00000216	1462
WBGene00000217	1460
WBGene00000218	1240
WBGene00000219	1275
WBGene00000220	1408
WBGene00000221	1026
WBGene00000221	1080
WBGene00000222	2402
WBGene00000223	2155
WBGene00000223	2161
WBGene00000223	2083
WBGene00000223	2277
WBGene00000223	2204
WBGene00000223	2362
WBGene00000223	2316
WBGene00000223	2057
WBGene00000224	1965
WBGene00000224	534
WBGene00000225	2230
WBGene00000225	1812
WBGene00000225	576
WBGene00000226	7735
WBGene00000226	7759
WBGene00000226	3174
WBGene00000227	7581
WBGene00000227	5106
WBGene00000228	3168
WBGene00000228	3092
WBGene00000228	2550
WBGene00000228	2472
WBGene00000229	1929
WBGene00000229	1846
WBGene00000230	859
WBGene00000230	952
WBGene00000230	953
WBGene00000230	959
WBGene00000230	700
WBGene00000231	3613
WBGene00000231	1913
WBGene00000231	3529
WBGene00000231	3213
WBGene00000232	2118
WBGene00000232	2017
WBGene00000232	2369
WBGene00000232	1461
WBGene00000232	2279
WBGene00000233	2227
WBGene00000233	1668
WBGene00000233	540
WBGene00000235	540
WBGene00000236	717
WBGene00000237	3441
WBGene00000238	2592
WBGene00000239	1615
WBGene00000239	1644
WBGene00000240	1609
WBGene00000240	1479
WBGene00000241	1984
WBGene00000242	2330
WBGene00000244	1719
WBGene00000245	1085
WBGene00000246	2056
WBGene00000247	1335
WBGene00000247	357
WBGene00000248	2065
WBGene00000249	567
WBGene00000249	669
WBGene00000250	1044
WBGene00000251	3010
WBGene00000252	994
WBGene00000253	4667
WBGene00000253	5185
WBGene00000254	2326
WBGene00000254	2216
WBGene00000254	2630
WBGene00000254	3215
WBGene00000254	3259
WBGene00000254	2175
WBGene00000254	4547
WBGene00000254	3149
WBGene00000254	2802
WBGene00000254	2151
WBGene00000254	2562
WBGene00000255	747
WBGene00000256	996
WBGene00000257	2986
WBGene00000257	3097
WBGene00000259	3744
WBGene00000259	1958
WBGene00000259	1844
WBGene00000259	1825
WBGene00000259	3654
WBGene00000259	3081
WBGene00000259	2856
WBGene00000259	1975
WBGene00000262	870
WBGene00000263	461
WBGene00000264	1955
WBGene00000264	354
WBGene00000264	1973
WBGene00000265	2186
WBGene00000266	1334
WBGene00000266	1435
WBGene00000266	1107
WBGene00000266	1420
WBGene00000266	1331
WBGene00000267	1334
WBGene00000267	1257
WBGene00000267	1080
WBGene00000267	1203
WBGene00000267	1298
WBGene00000268	2059
WBGene00000268	2009
WBGene00000268	2143
WBGene00000269	1462
WBGene00000269	1393
WBGene00000269	853
WBGene00000270	1070
WBGene00000270	696
WBGene00000271	2558
WBGene00000271	2603
WBGene00000272	1142
WBGene00000273	1804
WBGene00000273	1548
WBGene00000274	5229
WBGene00000275	3062
WBGene00000276	1563
WBGene00000277	1941
WBGene00000277	2012
WBGene00000279	1112
WBGene00000279	630
WBGene00000280	1198
WBGene00000281	1080
WBGene00000282	1079
WBGene00000282	987
WBGene00000283	1091
WBGene00000284	1436
WBGene00000284	1378
WBGene00000285	728
WBGene00000285	871
WBGene00000286	756
WBGene00000287	901
WBGene00000287	700
WBGene00000288	1488
WBGene00000288	1101
WBGene00000288	1031
WBGene00000288	549
WBGene00000289	3281
WBGene00000289	3232
WBGene00000289	2907
WBGene00000289	2796
WBGene00000292	1131
WBGene00000293	1260
WBGene00000294	4602
WBGene00000294	1709
WBGene00000295	1943
WBGene00000295	2002
WBGene00000296	1683
WBGene00000296	2389
WBGene00000296	1644
WBGene00000298	913
WBGene00000301	925
WBGene00000301	381
WBGene00000302	1233
WBGene00000302	960
WBGene00000302	483
WBGene00000302	846
WBGene00000366	7090
WBGene00000366	6664
WBGene00000366	7131
WBGene00000366	7005
WBGene00000367	5919
WBGene00000367	6218
WBGene00000367	6133
WBGene00000367	6181
WBGene00000367	6273
WBGene00000367	6150
WBGene00000367	5580
WBGene00000368	2089
WBGene00000369	1311
WBGene00000370	1066
WBGene00000371	487
WBGene00000371	826
WBGene00000372	1623
WBGene00000373	1561
WBGene00000375	1551
WBGene00000376	3157
WBGene00000376	3180
WBGene00000376	3153
WBGene00000376	3028
WBGene00000376	3531
WBGene00000376	1203
WBGene00000377	1868
WBGene00000378	1926
WBGene00000379	1854
WBGene00000379	1853
WBGene00000380	1931
WBGene00000381	1905
WBGene00000381	1908
WBGene00000381	1290
WBGene00000382	1754
WBGene00000383	2535
WBGene00000383	2533
WBGene00000383	2735
WBGene00000383	2733
WBGene00000383	2558
WBGene00000383	2613
WBGene00000386	2261
WBGene00000387	2088
WBGene00000387	1963
WBGene00000387	1122
WBGene00000388	1138
WBGene00000389	953
WBGene00000390	1346
WBGene00000391	903
WBGene00000392	635
WBGene00000393	2014
WBGene00000393	2228
WBGene00000393	2331
WBGene00000393	2140
WBGene00000393	1959
WBGene00000395	10252
WBGene00000396	13422
WBGene00000397	4920
WBGene00000397	4364
WBGene00000397	4759
WBGene00000397	4526
WBGene00000399	4424
WBGene00000401	2194
WBGene00000401	2219
WBGene00000402	5402
WBGene00000403	3442
WBGene00000403	1134
WBGene00000403	483
WBGene00000405	1185
WBGene00000406	1231
WBGene00000407	1057
WBGene00000408	1115
WBGene00000408	1278
WBGene00000408	1256
WBGene00000409	2010
WBGene00000410	1356
WBGene00000410	1604
WBGene00000411	1600
WBGene00000412	948
WBGene00000413	2651
WBGene00000414	1240
WBGene00000415	3729
WBGene00000415	3549
WBGene00000415	3543
WBGene00000415	1739
WBGene00000416	1094
WBGene00000416	318
WBGene00000416	90
WBGene00000417	2552
WBGene00000417	864
WBGene00000418	1864
WBGene00000418	1716
WBGene00000419	5644
WBGene00000420	1689
WBGene00000421	5510
WBGene00000421	5528
WBGene00000421	5516
WBGene00000421	5115
WBGene00000421	5277
WBGene00000422	1581
WBGene00000423	1285
WBGene00000424	424
WBGene00000424	1661
WBGene00000425	4370
WBGene00000426	2288
WBGene00000426	2233
WBGene00000427	412
WBGene00000428	843
WBGene00000429	856
WBGene00000430	600
WBGene00000431	1795
WBGene00000432	308
WBGene00000433	1233
WBGene00000433	992
WBGene00000433	429
WBGene00000434	797
WBGene00000435	1127
WBGene00000436	604
WBGene00000436	216
WBGene00000437	921
WBGene00000438	1903
WBGene00000439	900
WBGene00000439	886
WBGene00000440	914
WBGene00000441	2535
WBGene00000441	1584
WBGene00000441	2294
WBGene00000442	532
WBGene00000442	886
WBGene00000443	1279
WBGene00000444	2586
WBGene00000445	2009
WBGene00000445	648
WBGene00000445	1042
WBGene00000445	1140
WBGene00000445	1239
WBGene00000446	1044
WBGene00000447	1056
WBGene00000448	2272
WBGene00000449	1056
WBGene00000449	1155
WBGene00000449	513
WBGene00000450	720
WBGene00000451	1036
WBGene00000451	889
WBGene00000452	1124
WBGene00000453	1862
WBGene00000454	880
WBGene00000455	1110
WBGene00000457	1167
WBGene00000458	1208
WBGene00000458	1194
WBGene00000458	1096
WBGene00000458	1396
WBGene00000459	2709
WBGene00000459	2651
WBGene00000459	2710
WBGene00000459	2678
WBGene00000459	2599
WBGene00000459	2778
WBGene00000459	2686
WBGene00000459	2865
WBGene00000459	2724
WBGene00000459	2686
WBGene00000459	2660
WBGene00000459	1827
WBGene00000459	2739
WBGene00000459	2659
WBGene00000459	2573
WBGene00000459	2683
WBGene00000459	2769
WBGene00000459	2597
WBGene00000459	2590
WBGene00000459	2651
WBGene00000459	2569
WBGene00000459	2479
WBGene00000459	2671
WBGene00000459	2599
WBGene00000460	1834
WBGene00000461	1181
WBGene00000462	1386
WBGene00000463	1027
WBGene00000463	1042
WBGene00000464	4206
WBGene00000464	2076
WBGene00000464	2080
WBGene00000465	1889
WBGene00000465	483
WBGene00000466	2146
WBGene00000466	1846
WBGene00000467	2093
WBGene00000467	925
WBGene00000467	2103
WBGene00000467	2537
WBGene00000467	2819
WBGene00000468	990
WBGene00000469	1006
WBGene00000472	1381
WBGene00000473	1011
WBGene00000474	990
WBGene00000475	1183
WBGene00000476	2229
WBGene00000477	3881
WBGene00000478	2075
WBGene00000479	2273
WBGene00000480	2140
WBGene00000480	597
WBGene00000480	480
WBGene00000481	2073
WBGene00000482	5561
WBGene00000483	645
WBGene00000483	907
WBGene00000484	2355
WBGene00000485	12568
WBGene00000487	1968
WBGene00000488	1789
WBGene00000488	2021
WBGene00000488	2054
WBGene00000488	2070
WBGene00000490	4383
WBGene00000491	3969
WBGene00000491	2354
WBGene00000491	1806
WBGene00000491	1934
WBGene00000492	1414
WBGene00000492	978
WBGene00000493	3033
WBGene00000496	4288
WBGene00000496	4177
WBGene00000497	5523
WBGene00000497	4821
WBGene00000497	5103
WBGene00000498	1683
WBGene00000498	1236
WBGene00000499	2532
WBGene00000500	1133
WBGene00000501	1967
WBGene00000502	1192
WBGene00000503	2041
WBGene00000506	1000
WBGene00000507	1976
WBGene00000508	2163
WBGene00000508	2368
WBGene00000508	1959
WBGene00000509	1706
WBGene00000509	1625
WBGene00000509	1636
WBGene00000510	1559
WBGene00000510	1411
WBGene00000510	2860
WBGene00000511	1360
WBGene00000512	1198
WBGene00000513	1107
WBGene00000514	1380
WBGene00000515	1139
WBGene00000515	1487
WBGene00000515	1432
WBGene00000516	809
WBGene00000517	1444
WBGene00000517	1346
WBGene00000517	1441
WBGene00000517	1329
WBGene00000517	949
WBGene00000518	1784
WBGene00000518	1916
WBGene00000519	2109
WBGene00000520	2241
WBGene00000520	2263
WBGene00000520	999
WBGene00000520	684
WBGene00000521	2300
WBGene00000522	825
WBGene00000522	668
WBGene00000523	956
WBGene00000523	818
WBGene00000524	821
WBGene00000524	874
WBGene00000525	669
WBGene00000526	1205
WBGene00000527	3734
WBGene00000527	2743
WBGene00000527	2271
WBGene00000527	3528
WBGene00000528	3066
WBGene00000528	3063
WBGene00000528	2922
WBGene00000528	2736
WBGene00000528	3095
WBGene00000528	2553
WBGene00000528	2586
WBGene00000529	3095
WBGene00000529	3017
WBGene00000529	2905
WBGene00000530	3532
WBGene00000530	3800
WBGene00000530	3702
WBGene00000530	3688
WBGene00000530	3219
WBGene00000530	3192
WBGene00000530	3102
WBGene00000530	3527
WBGene00000530	3249
WBGene00000530	3159
WBGene00000530	3276
WBGene00000531	3190
WBGene00000531	3303
WBGene00000532	2688
WBGene00000533	2660
WBGene00000534	599
WBGene00000535	556
WBGene00000536	740
WBGene00000537	2809
WBGene00000539	1387
WBGene00000539	1575
WBGene00000540	1395
WBGene00000541	1374
WBGene00000542	2734
WBGene00000542	2861
WBGene00000542	2595
WBGene00000542	2523
WBGene00000542	2894
WBGene00000542	2565
WBGene00000543	2551
WBGene00000544	2378
WBGene00000545	2306
WBGene00000545	1812
WBGene00000546	2069
WBGene00000547	2499
WBGene00000547	876
WBGene00000548	4776
WBGene00000548	4858
WBGene00000548	4757
WBGene00000548	4714
WBGene00000549	3332
WBGene00000549	3345
WBGene00000550	4405
WBGene00000551	1677
WBGene00000552	1484
WBGene00000552	342
WBGene00000553	1742
WBGene00000554	1005
WBGene00000554	679
WBGene00000555	189
WBGene00000556	352
WBGene00000556	350
WBGene00000556	311
WBGene00000557	443
WBGene00000558	435
WBGene00000559	207
WBGene00000560	462
WBGene00000561	3318
WBGene00000562	2531
WBGene00000562	2329
WBGene00000563	1959
WBGene00000564	3047
WBGene00000564	3003
WBGene00000565	2620
WBGene00000565	2351
WBGene00000565	1728
WBGene00000565	972
WBGene00000566	3742
WBGene00000566	3330
WBGene00000566	3233
WBGene00000566	3118
WBGene00000566	3204
WBGene00000566	3121
WBGene00000566	3041
WBGene00000566	2930
WBGene00000566	2529
WBGene00000567	2141
WBGene00000567	1323
WBGene00000583	1633
WBGene00000584	1191
WBGene00000584	836
WBGene00000585	2205
WBGene00000591	2929
WBGene00000591	495
WBGene00000591	414
WBGene00000591	156
WBGene00000592	2121
WBGene00000593	966
WBGene00000594	972
WBGene00000596	1569
WBGene00000597	921
WBGene00000598	1020
WBGene00000599	966
WBGene00000601	1197
WBGene00000601	1085
WBGene00000601	1107
WBGene00000602	1063
WBGene00000603	1082
WBGene00000603	981
WBGene00000606	1094
WBGene00000608	932
WBGene00000609	994
WBGene00000610	1011
WBGene00000611	964
WBGene00000612	1029
WBGene00000613	1254
WBGene00000614	993
WBGene00000615	926
WBGene00000616	1037
WBGene00000617	1054
WBGene00000618	1380
WBGene00000620	1081
WBGene00000621	1020
WBGene00000622	1133
WBGene00000622	777
WBGene00000623	2791
WBGene00000624	724
WBGene00000624	519
WBGene00000625	922
WBGene00000626	912
WBGene00000627	1354
WBGene00000627	1298
WBGene00000628	1269
WBGene00000629	1045
WBGene00000629	907
WBGene00000630	901
WBGene00000631	936
WBGene00000632	465
WBGene00000633	966
WBGene00000634	997
WBGene00000636	1127
WBGene00000637	986
WBGene00000638	1023
WBGene00000639	1221
WBGene00000640	1360
WBGene00000641	996
WBGene00000644	1106
WBGene00000645	1443
WBGene00000646	1401
WBGene00000647	1312
WBGene00000648	921
WBGene00000648	867
WBGene00000649	980
WBGene00000650	1592
WBGene00000651	948
WBGene00000652	1634
WBGene00000653	1024
WBGene00000654	1013
WBGene00000655	905
WBGene00000656	1040
WBGene00000657	1025
WBGene00000658	1106
WBGene00000659	1052
WBGene00000660	1037
WBGene00000661	972
WBGene00000661	537
WBGene00000662	1871
WBGene00000663	909
WBGene00000664	987
WBGene00000665	1131
WBGene00000666	983
WBGene00000667	1003
WBGene00000668	1001
WBGene00000669	1017
WBGene00000670	1052
WBGene00000671	1052
WBGene00000672	1186
WBGene00000673	1039
WBGene00000674	2910
WBGene00000674	2151
WBGene00000674	2088
WBGene00000674	2052
WBGene00000674	2853
WBGene00000674	2717
WBGene00000674	2016
WBGene00000674	2043
WBGene00000674	1971
WBGene00000674	2208
WBGene00000674	2172
WBGene00000674	2136
WBGene00000674	2100
WBGene00000674	2163
WBGene00000674	2127
WBGene00000674	2091
WBGene00000674	2055
WBGene00000675	1417
WBGene00000675	946
WBGene00000676	1438
WBGene00000677	1170
WBGene00000678	921
WBGene00000679	953
WBGene00000680	891
WBGene00000681	938
WBGene00000682	983
WBGene00000683	1145
WBGene00000684	1018
WBGene00000685	1425
WBGene00000685	666
WBGene00000687	1091
WBGene00000687	1081
WBGene00000688	1024
WBGene00000689	1300
WBGene00000690	1877
WBGene00000691	975
WBGene00000692	947
WBGene00000692	822
WBGene00000693	870
WBGene00000694	1035
WBGene00000695	1196
WBGene00000696	957
WBGene00000697	1141
WBGene00000698	1117
WBGene00000699	941
WBGene00000700	951
WBGene00000701	1237
WBGene00000702	1352
WBGene00000703	1246
WBGene00000703	840
WBGene00000704	960
WBGene00000705	976
WBGene00000706	831
WBGene00000707	962
WBGene00000708	1994
WBGene00000708	1799
WBGene00000710	1133
WBGene00000711	846
WBGene00000712	993
WBGene00000713	932
WBGene00000714	991
WBGene00000715	1031
WBGene00000716	1020
WBGene00000717	1009
WBGene00000718	960
WBGene00000719	939
WBGene00000720	1178
WBGene00000721	991
WBGene00000722	1044
WBGene00000723	1008
WBGene00000724	978
WBGene00000725	987
WBGene00000726	1341
WBGene00000727	1103
WBGene00000728	958
WBGene00000729	986
WBGene00000730	953
WBGene00000731	1215
WBGene00000732	1058
WBGene00000732	1058
WBGene00000732	1039
WBGene00000733	1089
WBGene00000733	1070
WBGene00000733	1115
WBGene00000734	936
WBGene00000735	930
WBGene00000736	2289
WBGene00000737	1276
WBGene00000738	1092
WBGene00000739	906
WBGene00000740	906
WBGene00000741	906
WBGene00000742	903
WBGene00000743	903
WBGene00000744	924
WBGene00000745	1314
WBGene00000745	1208
WBGene00000745	1183
WBGene00000745	843
WBGene00000746	1119
WBGene00000747	1328
WBGene00000748	923
WBGene00000749	1082
WBGene00000750	1470
WBGene00000751	964
WBGene00000752	969
WBGene00000753	903
WBGene00000754	1116
WBGene00000754	840
WBGene00000756	1073
WBGene00000757	909
WBGene00000757	861
WBGene00000758	1021
WBGene00000759	1437
WBGene00000759	1367
WBGene00000760	1003
WBGene00000761	1562
WBGene00000762	1220
WBGene00000762	1251
WBGene00000763	913
WBGene00000764	753
WBGene00000765	968
WBGene00000766	1371
WBGene00000767	2365
WBGene00000768	1956
WBGene00000768	1765
WBGene00000768	1985
WBGene00000770	2308
WBGene00000771	1847
WBGene00000771	1755
WBGene00000772	2803
WBGene00000773	1402
WBGene00000774	1101
WBGene00000775	1386
WBGene00000775	1467
WBGene00000776	1190
WBGene00000776	597
WBGene00000777	832
WBGene00000777	917
WBGene00000778	733
WBGene00000778	449
WBGene00000779	612
WBGene00000780	569
WBGene00000781	1078
WBGene00000782	1065
WBGene00000783	1369
WBGene00000784	1129
WBGene00000785	1205
WBGene00000786	1260
WBGene00000787	1010
WBGene00000788	993
WBGene00000788	513
WBGene00000789	1564
WBGene00000792	5606
WBGene00000793	1507
WBGene00000793	984
WBGene00000793	945
WBGene00000793	1259
WBGene00000793	1261
WBGene00000793	1117
WBGene00000793	1615
WBGene00000794	1317
WBGene00000795	1068
WBGene00000796	2726
WBGene00000796	2613
WBGene00000797	1166
WBGene00000798	747
WBGene00000799	1288
WBGene00000799	1236
WBGene00000800	2991
WBGene00000800	2986
WBGene00000800	2265
WBGene00000802	1401
WBGene00000803	3281
WBGene00000804	824
WBGene00000812	2419
WBGene00000812	2602
WBGene00000812	2240
WBGene00000812	1875
WBGene00000812	132
WBGene00000813	1894
WBGene00000814	1629
WBGene00000814	1625
WBGene00000815	1687
WBGene00000816	1697
WBGene00000817	1203
WBGene00000818	1468
WBGene00000818	1473
WBGene00000819	1611
WBGene00000819	807
WBGene00000819	450
WBGene00000820	2724
WBGene00000820	792
WBGene00000820	2184
WBGene00000821	703
WBGene00000822	1409
WBGene00000829	1118
WBGene00000830	1554
WBGene00000831	1611
WBGene00000832	2690
WBGene00000832	2107
WBGene00000832	2725
WBGene00000832	2655
WBGene00000832	2788
WBGene00000833	1710
WBGene00000834	3955
WBGene00000834	3351
WBGene00000835	395
WBGene00000836	2589
WBGene00000837	3012
WBGene00000837	2829
WBGene00000837	2376
WBGene00000837	2818
WBGene00000838	2978
WBGene00000838	3165
WBGene00000838	2154
WBGene00000838	723
WBGene00000838	989
WBGene00000839	2761
WBGene00000840	2589
WBGene00000841	2281
WBGene00000843	905
WBGene00000845	1426
WBGene00000846	2241
WBGene00000846	2268
WBGene00000846	2586
WBGene00000846	2215
WBGene00000846	2248
WBGene00000846	2266
WBGene00000851	1497
WBGene00000853	1856
WBGene00000854	1746
WBGene00000854	1659
WBGene00000854	1638
WBGene00000857	1322
WBGene00000858	1427
WBGene00000859	391
WBGene00000860	447
WBGene00000861	477
WBGene00000862	1341
WBGene00000863	2083
WBGene00000864	755
WBGene00000865	1521
WBGene00000865	1691
WBGene00000866	1268
WBGene00000867	1334
WBGene00000868	1456
WBGene00000868	1452
WBGene00000868	1456
WBGene00000869	1455
WBGene00000870	1776
WBGene00000870	2012
WBGene00000871	2106
WBGene00000871	2105
WBGene00000872	4511
WBGene00000872	4519
WBGene00000874	4141
WBGene00000874	3830
WBGene00000875	2200
WBGene00000876	1624
WBGene00000877	684
WBGene00000878	703
WBGene00000879	640
WBGene00000880	1627
WBGene00000881	752
WBGene00000882	700
WBGene00000883	635
WBGene00000884	1789
WBGene00000884	1864
WBGene00000885	1012
WBGene00000886	641
WBGene00000886	621
WBGene00000887	615
WBGene00000888	605
WBGene00000888	111
WBGene00000889	1053
WBGene00000889	312
WBGene00000890	1362
WBGene00000890	1169
WBGene00000891	2096
WBGene00000892	2242
WBGene00000893	1853
WBGene00000893	1883
WBGene00000894	2011
WBGene00000894	2105
WBGene00000894	2110
WBGene00000894	2072
WBGene00000894	2108
WBGene00000894	2020
WBGene00000894	2111
WBGene00000894	2027
WBGene00000894	2030
WBGene00000894	2043
WBGene00000894	2077
WBGene00000895	1479
WBGene00000895	1365
WBGene00000896	476
WBGene00000897	2505
WBGene00000897	2007
WBGene00000898	7044
WBGene00000898	7325
WBGene00000898	5400
WBGene00000898	5313
WBGene00000898	3111
WBGene00000898	2019
WBGene00000899	3126
WBGene00000899	3020
WBGene00000899	2790
WBGene00000899	2688
WBGene00000899	3022
WBGene00000899	3018
WBGene00000899	2352
WBGene00000899	2343
WBGene00000899	852
WBGene00000900	2714
WBGene00000900	1578
WBGene00000900	2648
WBGene00000900	2576
WBGene00000900	1960
WBGene00000900	1568
WBGene00000900	2658
WBGene00000901	2508
WBGene00000901	2649
WBGene00000902	2934
WBGene00000903	1645
WBGene00000904	1791
WBGene00000905	1999
WBGene00000905	1674
WBGene00000905	1824
WBGene00000906	3644
WBGene00000907	4172
WBGene00000907	2580
WBGene00000908	3656
WBGene00000908	2085
WBGene00000908	2194
WBGene00000908	2160
WBGene00000908	3636
WBGene00000908	3859
WBGene00000908	3817
WBGene00000908	3592
WBGene00000908	2253
WBGene00000908	2245
WBGene00000910	1118
WBGene00000910	1272
WBGene00000911	5738
